chrom	circRNA_start	circRNA_end	strand	exonCount	exonSizes	exonOffsets	circType	geneName	isoformName	exonIndexOrIntronIndex	FlankingIntrons	CircularJunctionCount_Sample_1	LinearJunctionCount_Sample_1	CircularJunctionCount_Sample_2	LinearJunctionCount_Sample_2	PBI_Sample_1	PBI_Sample_2	deltaPBI(PBI_1-PBI_2)	pValue	FDR
chr2	52336843	52337477	+	2	231,90,	0,544,	circRNA	RGD1306227	NM_001014037	2,3	chr2:52333545-52336843|52337477-52340039	1	1	5	0	0.6666666666666666	1.0	-0.33333333333333337	0.23076923076923114	1.0
chr5	129448884	129491380	+	5	47,203,92,92,106,	0,8797,20705,26893,42390,	circRNA	Faf1	NM_130406	3,4,5,6,7	chr5:129413134-129448884|129491380-129528858	3	31	4	82	0.16216216216216217	0.08888888888888889	0.07327327327327328	0.23080318910474645	1.0
chr2	111771931	111772738	-	1	807,	0,	circRNA	Nlgn1	NM_053868	6	chr2:111771489-111771931|111772738-111792799	7	19	11	15	0.42424242424242425	0.5945945945945946	-0.17035217035217037	0.2308983431682673	1.0
chr1	184008118	184017761	+	4	51,249,140,107,	0,2112,5062,9536,	circRNA	Pde3b	NM_017229	2,3,4,5	chr1:183893833-184008118|184017761-184041763	18	12	28	10	0.75	0.8484848484848485	-0.09848484848484851	0.23194150003719785	1.0
chr2	24105472	24126036	+	8	50,98,55,72,63,133,110,177,	0,2043,3893,4041,5919,8283,12025,20387,	circRNA	Ap3b1	NM_001107646	6,7,8,9,10,11,12,13	chr2:24083767-24105472|24126036-24134221	2	39	1	58	0.09302325581395349	0.03333333333333333	0.059689922480620154	0.23243986469298933	1.0
chr10	110535456	110536927	-	2	95,88,	0,1383,	circRNA	Wdr45b	NM_001039587	7,8	chr10:110533812-110535456|110536927-110539121	1	27	1	93	0.06896551724137931	0.021052631578947368	0.047912885662431945	0.2327697020365303	1.0
chr5	117620102	117623151	-	4	144,193,101,159,	0,827,2135,2890,	circRNA	Dock7	NM_001191574	10,11,12,13	chr5:117615208-117620102|117623151-117627867	2	46	1	68	0.08	0.02857142857142857	0.051428571428571435	0.23311079141004068	1.0
chr1	102952106	102954266	-	2	92,67,	0,2093,	circRNA	Tsg101	NM_181628	4,5	chr1:102943697-102952106|102954266-102957681	1	16	2	94	0.1111111111111111	0.04081632653061224	0.07029478458049887	0.23328063306306596	1.0
chr19	34292208	34312530	+	5	75,88,59,106,160,	0,6314,13582,18541,20162,	circRNA	Arhgap10	NM_001109501	14,15,16,17,18	chr19:34272145-34292208|34312530-34346073	4	22	11	30	0.26666666666666666	0.4230769230769231	-0.1564102564102564	0.2338532311737231	1.0
chr4	28488036	28520904	+	8	133,92,95,99,91,177,119,107,	0,2320,6614,7004,22866,25961,28991,32761,	circRNA	Vps50	NM_001173511	13,14,15,16,17,18,19,20	chr4:28478841-28488036|28520904-28533249	2	15	2	39	0.21052631578947367	0.09302325581395349	0.11750305997552019	0.23471344370414143	1.0
chr8	32188560	32189634	+	1	1074,	0,	circRNA	Zbtb44	NM_001034942	2	chr8:32165913-32188560|32189634-32209181	21	0	19	2	1.0	0.95	0.050000000000000044	0.2348690153568164	1.0
chr14	87328007	87357732	+	3	150,119,112,	0,22080,29613,	circRNA	Adcy1	NM_001107239	2,3,4	chr14:87312724-87328007|87357732-87377824	36	2	75	12	0.972972972972973	0.9259259259259259	0.0470470470470471	0.23568266752725467	1.0
chr8	79247770	79268294	+	5	83,123,117,85,208,	0,1704,16611,19378,20316,	circRNA	Rfx7	NM_001127490	3,4,5,6,7	chr8:79234339-79247770|79268294-79271500	3	13	1	15	0.3157894736842105	0.11764705882352941	0.1981424148606811	0.23569622813226618	1.0
chr17	6169816	6189453	-	6	100,98,36,306,133,137,	0,5041,7331,17296,18480,19500,	circRNA	Ntrk2	NM_012731	7,8,9,10,11,12	chr17:6070770-6169816|6189453-6203225	1	1	1	7	0.6666666666666666	0.2222222222222222	0.4444444444444444	0.236363636363636	1.0
chr5	48321201	48330517	+	6	68,224,83,141,153,197,	0,3514,4472,4713,7928,9119,	circRNA	Gabrr2	NM_017292	3,4,5,6,7,8	chr5:48312052-48321201|48330517-48341068	1	1	1	7	0.6666666666666666	0.2222222222222222	0.4444444444444444	0.236363636363636	1.0
chr2	259591895	259592305	-	1	410,	0,	circRNA	St6galnac3	NM_019123	3	chr2:259382763-259591895|259592305-259688845	2	0	2	3	1.0	0.5714285714285714	0.4285714285714286	0.23636363636363647	1.0
chr2	257937493	257945564	+	6	136,112,97,118,111,173,	0,1804,3225,4852,5114,7898,	circRNA	Pigk	NM_001011953	4,5,6,7,8,9	chr2:257920087-257937493|257945564-257971677	5	46	13	69	0.17857142857142858	0.2736842105263158	-0.09511278195488723	0.23644860029183096	1.0
chr10	55419843	55436069	-	7	152,92,174,137,149,154,98,	0,3499,6364,10550,11672,14406,16128,	circRNA	Ndel1	NM_133320	2,3,4,5,6,7,8	chr10:55413110-55419843|55436069-55444683	2	9	3	34	0.3076923076923077	0.15	0.15769230769230771	0.23661454528226805	1.0
chr4	115631195	115643263	+	6	62,39,170,275,147,123,	0,5365,6908,8473,10243,11945,	circRNA	Zfp638	NM_001107868	3,4,5,6,7,8	chr4:115626399-115631195|115643263-115649000	2	147	2	367	0.026490066225165563	0.01078167115902965	0.015708395066135913	0.23713997961842107	1.0
chr1	167246398	167269761	-	9	165,178,139,114,299,117,188,134,141,	0,2002,3363,4119,4794,8186,13959,17477,23222,	circRNA	Nup98	NM_031074	14,15,16,17,18,19,20,21,22	chr1:167240124-167246398|167269761-167276450	1	17	1	59	0.10526315789473684	0.03278688524590164	0.07247627264883519	0.2376832028730642	1.0
chr13	60462942	60484400	-	7	65,79,99,217,89,53,63,	0,2373,3764,9903,16219,21257,21395,	circRNA	Cdc73	NM_001024769	8,9,10,11,12,13,14	chr13:60430700-60462942|60484400-60489600	2	37	1	54	0.0975609756097561	0.03571428571428571	0.06184668989547039	0.23769832025902426	1.0
chr13	60462942	60473062	-	4	65,79,99,217,	0,2373,3764,9903,	circRNA	Cdc73	NM_001024769	8,9,10,11	chr13:60430700-60462942|60473062-60479161	2	37	1	54	0.0975609756097561	0.03571428571428571	0.06184668989547039	0.23769832025902426	1.0
chr9	64859142	64865137	-	4	95,194,212,227,	0,1163,3439,5768,	circRNA	Kctd18	NM_001106914	3,4,5,6	chr9:64855949-64859142|64865137-64905069	1	9	1	33	0.18181818181818182	0.05714285714285714	0.12467532467532469	0.2379507920458346	1.0
chr4	27549174	27563899	+	5	209,89,145,167,89,	0,1444,4706,8556,14636,	circRNA	Ankib1	NM_001134781	6,7,8,9,10	chr4:27537918-27549174|27563899-27573803	1	5	1	20	0.2857142857142857	0.09090909090909091	0.1948051948051948	0.23813734158561822	1.0
chr6	26082810	26099044	+	4	63,165,92,189,	0,5052,13663,16045,	circRNA	Rbks	NM_001108703	4,5,6,7	chr6:26081787-26082810|26099044-26128541	1	5	1	20	0.2857142857142857	0.09090909090909091	0.1948051948051948	0.23813734158561822	1.0
chr18	83556561	83582543	+	4	229,114,559,75,	0,20814,24393,25907,	circRNA	Neto1	NM_001107371	7,8,9,10	chr18:83543094-83556561|83582543-83583381	3	14	1	16	0.3	0.1111111111111111	0.18888888888888888	0.23840849647301046	1.0
chr9	94940124	94944717	+	4	60,77,136,85,	0,2808,4088,4508,	circRNA	Sag	NM_013023	6,7,8,9	chr9:94937738-94940124|94944717-94948510	1	3029	1	9793	0.0006598482349059716	0.0002041858090862685	0.0004556624258197031	0.2388332210220095	1.0
chr3	21850498	21904269	-	13	135,159,200,93,112,98,112,96,92,145,166,221,170,	0,2066,9063,9901,24594,24909,25613,26893,28022,37805,43669,47777,53601,	circRNA	Strbp	NM_053416	5,6,7,8,9,10,11,12,13,14,15,16,17	chr3:21844859-21850498|None	1	341	5	654	0.0058309037900874635	0.015060240963855422	-0.009229337173767959	0.23884607618848996	1.0
chr6	22242070	22250518	-	5	71,80,43,80,92,	0,3012,5050,7556,8356,	circRNA	Spast	NM_001108702	3,4,5,6,7	chr6:22235071-22242070|22250518-22250910	10	51	16	54	0.28169014084507044	0.37209302325581395	-0.09040288241074351	0.23949400264539178	1.0
chr6	76491314	76492176	-	1	862,	0,	circRNA	Ralgapa1	NM_020083	9	chr6:76487951-76491314|76492176-76500537	2	142	1	202	0.0273972602739726	0.00980392156862745	0.01759333870534515	0.23978979657494978	1.0
chr4	118738088	118773392	+	14	109,143,122,82,133,104,80,155,326,243,233,158,105,96,	0,1345,8837,10597,11336,13997,15201,19324,20451,24093,29097,30369,32153,35208,	circRNA	Aak1	NM_001173450	3,4,5,6,7,8,9,10,11,12,13,14,15,16	chr4:118729459-118738088|118773392-118785830	2	77	2	190	0.04938271604938271	0.020618556701030927	0.028764159348351786	0.23996770776996623	1.0
chr13	73239821	73265813	+	3	83,106,90,	0,15415,25902,	circRNA	Acbd6	NM_001011906	4,5,6	chr13:73206310-73239821|73265813-73319253	9	136	19	197	0.11688311688311688	0.16170212765957448	-0.0448190107764576	0.23999039752401377	1.0
chr10	52216059	52244749	-	5	128,52,120,120,175,	0,2471,4533,12470,28515,	circRNA	Map2k4	NM_001030023	5,6,7,8,9	chr10:52201658-52216059|52244749-52270480	2	53	2	131	0.07017543859649122	0.02962962962962963	0.04054580896686159	0.2401027156413	1.0
chr17	63829633	63879166	-	12	186,273,237,208,119,78,56,88,93,78,160,135,	0,390,1258,1881,4417,5213,6099,6663,8471,9066,30734,49398,	circRNA	Zmynd11	NM_203369	2,3,4,5,6,7,8,9,10,11,12,13	chr17:63827780-63829633|63879166-63913763	1	72	6	161	0.02702702702702703	0.06936416184971098	-0.04233713482268395	0.24040767388959075	1.0
chr10	86734305	86738981	+	3	177,683,65,	0,317,4611,	circRNA	Casc3	NM_147144	6,7,8	chr10:86733555-86734305|86738981-86739903	7	132	8	239	0.0958904109589041	0.06274509803921569	0.03314531291968842	0.2405102894672173	1.0
chr15	15635061	15667775	+	8	107,157,142,156,117,22,75,84,	0,6350,7506,19443,23409,23536,31662,32630,	circRNA	Cadps	NM_013219	19,20,21,22,23,24,25,26	chr15:15619382-15635061|None	1	39	1	129	0.04878048780487805	0.015267175572519083	0.03351331223235897	0.24085099626895992	1.0
chr1	1742557	1750895	-	5	86,121,105,32,105,	0,673,3741,6808,8233,	circRNA	Pcmt1	NM_013073	4,5,6,7,8	chr1:1740943-1742557|1750895-1767597	1	20	1	68	0.09090909090909091	0.02857142857142857	0.062337662337662345	0.24085278017862244	1.0
chr9	65299210	65302114	-	4	130,95,167,117,	0,219,2534,2787,	circRNA	Clk1	NM_001106913	5,6,7,8	chr9:65298195-65299210|65302114-65303836	2	163	1	230	0.023952095808383235	0.008620689655172414	0.015331406153210821	0.2417114406878113	1.0
chr3	150706307	150720094	+	6	158,196,96,175,70,85,	0,2231,4584,6415,10959,13702,	circRNA	Itch	NM_001005887	6,7,8,9,10,11	chr3:150704624-150706307|150720094-150725263	1	89	1	288	0.02197802197802198	0.006896551724137931	0.015081470253884049	0.2424178473317082	1.0
chr7	82362310	82368737	+	5	86,60,82,111,105,	0,214,3195,4088,6322,	circRNA	Emc2	NM_001113785	13,14,15,16,17	chr7:82352607-82362310|82368737-82377022	1	53	1	173	0.03636363636363636	0.011428571428571429	0.024935064935064935	0.2424776609110045	1.0
chr19	9683853	9684128	+	1	275,	0,	circRNA	Cnot1	NM_001134840	2	chr19:9668318-9683853|9684128-9698854	2	23	2	57	0.14814814814814814	0.06557377049180328	0.08257437765634486	0.24280791621751274	1.0
chr18	59190040	59192425	+	2	770,89,	0,2296,	circRNA	Wdr7	NM_023975	14,15	chr18:59173106-59190040|59192425-59205019	158	101	302	163	0.7577937649880095	0.78748370273794	-0.02968993774993045	0.24313640816740048	1.0
chr2	21603565	21611712	-	5	194,80,254,90,148,	0,510,2190,5873,7999,	circRNA	Rasgrf2	NM_053721	23,24,25,26,27	chr2:21598877-21603565|21611712-21631078	2	103	1	145	0.037383177570093455	0.013605442176870748	0.023777735393222706	0.24315570068816264	1.0
chr5	14282911	14314250	-	5	114,102,179,193,98,	0,4917,14772,22964,31241,	circRNA	Atp6v1h	NM_001013929	2,3,4,5,6	chr5:14262696-14282911|14314250-14330859	3	24	12	51	0.2	0.32	-0.12	0.24335759852686017	1.0
chr4	42951115	42957504	-	2	179,188,	0,6201,	circRNA	Cttnbp2	NM_001114401	7,8	chr4:42947980-42951115|42957504-42958364	1	24	1	80	0.07692307692307693	0.024390243902439025	0.0525328330206379	0.24397309620375238	1.0
chr16	47895407	47903066	+	8	62,133,131,156,188,149,122,120,	0,154,1509,2901,4806,5098,6953,7539,	circRNA	Trappc11	NM_001169115	16,17,18,19,20,21,22,23	chr16:47894778-47895407|47903066-47904642	1	58	1	188	0.03333333333333333	0.010526315789473684	0.02280701754385965	0.24401506771505493	1.0
chr20	8247935	8251825	+	2	66,115,	0,3775,	circRNA	Tbc1d22b	NM_001025059	9,10	chr20:8246603-8247935|8251825-8270398	1	2	1	10	0.5	0.16666666666666666	0.33333333333333337	0.24450549450549453	1.0
chr13	101704469	101719908	+	7	70,54,55,64,104,123,123,	0,3367,3897,10537,10837,13659,15316,	circRNA	Aida	NM_001127600	2,3,4,5,6,7,8	chr13:101698352-101704469|101719908-101723014	1	2	1	10	0.5	0.16666666666666666	0.33333333333333337	0.24450549450549453	1.0
chr10	48699809	48705799	-	3	125,102,55,	0,4496,5935,	circRNA	Ncor1	NM_001271103	31,32,33	chr10:48696065-48699809|48705799-48707154	3	199	4	497	0.02926829268292683	0.015841584158415842	0.01342670852451099	0.24477494988662396	1.0
chr2	202479063	202480189	+	2	240,140,	0,986,	circRNA	Gdap2	NM_001013201	2,3	chr2:202470665-202479063|202480189-202489125	2	0	4	7	1.0	0.5333333333333333	0.4666666666666667	0.24509803921568626	1.0
chr10	43142688	43158515	+	3	103,139,167,	0,4164,15660,	circRNA	Galnt10	NM_130742	2,3,4	chr10:43067474-43142688|43158515-43189431	1	9	4	11	0.18181818181818182	0.42105263157894735	-0.23923444976076552	0.24647346656341979	1.0
chr11	64795076	64800821	+	3	166,89,68,	0,4189,5677,	circRNA	Timmdc1	NM_001007676	2,3,4	chr11:64791090-64795076|64800821-64805353	3	7	2	14	0.46153846153846156	0.2222222222222222	0.23931623931623935	0.24689268269090975	1.0
chr8	79643796	79648500	+	3	146,110,154,	0,986,4550,	circRNA	Dyx1c1	NM_001007010	5,6,7	chr8:79641300-79643796|79648500-79650716	1	3	1	13	0.4	0.13333333333333333	0.2666666666666667	0.24871001031991802	1.0
chr9	17795243	17796133	+	3	98,109,89,	0,464,801,	circRNA	Slc29a1	NM_031684	11,12,13	chr9:17794636-17795243|17796133-17797971	19	23	23	17	0.6229508196721312	0.7301587301587301	-0.10720791048659895	0.24994095727370125	1.0
chrX	63552833	63592393	+	3	55,96,92,	0,6397,39468,	circRNA	Apoo	NM_001199178	4,5,6	chrX:63544566-63552833|63592393-63602833	3	17	1	18	0.2608695652173913	0.1	0.1608695652173913	0.25025147316696283	1.0
chr10	39683305	39705408	+	10	52,74,78,135,135,96,73,89,117,144,	0,5343,7357,8886,9723,11225,12549,16144,16956,21959,	circRNA	Acsl6	NM_130739	9,10,11,12,13,14,15,16,17,18	chr10:39681316-39683305|39705408-39706999	2	64	3	217	0.058823529411764705	0.026905829596412557	0.03191769981535215	0.25042040106101787	1.0
chr1	261198163	261200060	-	2	100,156,	0,1741,	circRNA	Mms19	NM_001271596	12,13	chr1:261197504-261198163|261200060-261201161	2	8	3	29	0.3333333333333333	0.17142857142857143	0.16190476190476188	0.25067631867614243	1.0
chr5	141418721	141423494	-	2	135,141,	0,4632,	circRNA	Akirin1	NM_001030054	3,4	chr5:141417747-141418721|141423494-141430311	2	61	2	144	0.06153846153846154	0.02702702702702703	0.03451143451143451	0.2509141699492921	1.0
chr6	125776334	125791354	-	6	164,194,141,3021,213,87,	0,4398,5214,8609,12194,14933,	circRNA	Trip11	NM_001191772	8,9,10,11,12,13	chr6:125775042-125776334|125791354-125792424	2	14	9	28	0.2222222222222222	0.391304347826087	-0.16908212560386476	0.2510077687989039	1.0
chr20	4997160	4997238	+	1	78,	0,	circRNA	Vars	NM_053292	6	chr20:4997067-4997154|4997239-4997409	1	43	1	137	0.044444444444444446	0.014388489208633094	0.030055955235811352	0.2513433944010971	1.0
chr15	109125712	109141568	+	8	29,20,7,2,10,76,111,103,	0,29,50,58,61,1994,9953,15753,	circRNA	Pcca	NM_019330	22,23,24,25,26,27,28,29	chr15:109121604-109125712|109141568-109168310	11	13	26	17	0.6285714285714286	0.7536231884057971	-0.12505175983436856	0.25190539207956986	1.0
chrX	21127563	21129874	+	4	179,86,134,311,	0,626,1228,2000,	circRNA	Phf8	NM_001108253	15,16,17,18	chrX:21112341-21127563|21129874-21156756	8	100	15	121	0.13793103448275862	0.1986754966887417	-0.06074446220598309	0.2523333364541484	1.0
chr6	122637966	122647846	+	6	437,67,116,45,78,58,	0,1871,4915,6061,7124,9822,	circRNA	Spata7	NM_138862	6,7,8,9,10,11	chr6:122627279-122637966|122647846-122648017	1	42	1	133	0.045454545454545456	0.014814814814814815	0.03063973063973064	0.253410363974312	1.0
chr1	263249207	263253633	-	6	143,166,151,105,113,124,	0,1353,1604,3406,3748,4302,	circRNA	Got1	NM_012571	2,3,4,5,6,7	chr1:263247058-263249207|263253633-263261211	2	174	4	166	0.02247191011235955	0.04597701149425287	-0.023505101381893323	0.2539086654666951	1.0
chr5	171277662	171281241	+	4	177,207,108,37,	0,1645,2567,3542,	circRNA	Cep104	NM_145082	15,16,17,18	chr5:171276188-171277662|171281241-171282083	1	22	1	71	0.08333333333333333	0.0273972602739726	0.05593607305936073	0.25504958381916404	1.0
chr15	57348404	57351717	+	3	126,110,112,	0,618,3201,	circRNA	Zc3h13	NM_001170471	2,3,4	chr15:57340872-57348404|57351717-57366103	7	9	14	9	0.6086956521739131	0.7567567567567568	-0.14806110458284372	0.257024270424373	1.0
chr4	151118220	151123637	-	2	104,324,	0,5093,	circRNA	Cacna1c	NM_012517	45,46	chr4:150829741-151118220|151123637-151268835	1	24	3	23	0.07692307692307693	0.20689655172413793	-0.129973474801061	0.2573705983250893	1.0
chr5	128714470	128733959	-	8	160,105,91,51,23,6,48,96,	0,3235,4299,15733,16985,17009,18187,19393,	circRNA	Osbpl9	NM_001044234	13,14,15,16,17,18,19,20	chr5:128705550-128714470|128733959-128767625	5	65	10	220	0.13333333333333333	0.08333333333333333	0.05	0.25783793918710873	1.0
chr7	35079419	35095720	+	8	73,195,79,180,148,91,185,160,	0,5313,6778,7297,11347,11584,15180,16141,	circRNA	Nr2c1	NM_145780	2,3,4,5,6,7,8,9	chr7:35069966-35079419|35095720-35105346	3	5	14	9	0.5454545454545454	0.7567567567567568	-0.21130221130221138	0.257943373153451	1.0
chr10	38617280	38633058	-	7	77,245,134,100,123,141,58,	0,5527,8106,8704,11167,13303,15720,	circRNA	Hspa4	NM_153629	12,13,14,15,16,17,18	chr10:38615143-38617280|38633058-38642065	1	181	7	451	0.01092896174863388	0.030107526881720432	-0.01917856513308655	0.25854403616416904	1.0
chr5	144891841	144907761	-	7	152,96,172,95,180,54,172,	0,4503,4725,12383,12877,13839,15748,	circRNA	Zmym4	NM_001107982	5,6,7,8,9,10,11	chr5:144885930-144891841|144907761-144910321	4	78	3	121	0.09302325581395349	0.047244094488188976	0.04577916132576451	0.259603414097416	1.0
chr6	122821509	122823869	-	3	128,112,203,	0,1091,2157,	circRNA	Eml5	NM_001003402	24,25,26	chr6:122817427-122821509|122823869-122837680	4	177	6	155	0.043243243243243246	0.0718562874251497	-0.028613044181906452	0.2598138756055432	1.0
chr2	206956637	206976810	-	10	69,72,81,144,144,144,144,135,75,66,	0,327,2151,8283,8620,9155,9427,16874,17262,20107,	circRNA	Lrig2	NM_001107710	8,9,10,11,12,13,14,15,16,17	chr2:206944786-206956637|206976810-206997078	15	34	15	21	0.46875	0.5882352941176471	-0.11948529411764708	0.25995097306058834	1.0
chr12	10502512	10534434	-	13	73,70,144,14,7,2,14,57,22,58,141,111,76,	0,1100,3437,10470,10489,10496,10498,10534,10592,12634,24795,28173,31846,	circRNA	Cdk8	NM_001109061	5,6,7,8,9,10,11,12,13,14,15,16,17	chr12:10500060-10502512|10534434-10561193	1	45	1	139	0.0425531914893617	0.014184397163120567	0.028368794326241134	0.26057280326730226	1.0
chr7	18522323	18540336	-	11	54,78,45,102,61,50,154,192,94,8,53,	0,6828,7310,8506,11154,12410,13122,14095,16841,17039,17960,	circRNA	Hnrnpm	NM_001109911	4,5,6,7,8,9,10,11,12,13,14	chr7:18520457-18522323|18540336-18547487	1	54	1	166	0.03571428571428571	0.011904761904761904	0.023809523809523808	0.26076024790084135	1.0
chr6	22373411	22376735	+	2	113,112,	0,3212,	circRNA	Memo1	NM_001029917	3,4	chr6:22365605-22373411|22376735-22390405	2	46	2	105	0.08	0.03669724770642202	0.04330275229357798	0.2609878184600276	1.0
chr7	73684649	73748233	-	4	176,193,126,138,	0,13178,46301,63446,	circRNA	Stk3	NM_031735	2,3,4,5	chr7:73619884-73684649|73748233-73808150	1	7	7	16	0.2222222222222222	0.4666666666666667	-0.24444444444444446	0.2617320975455391	1.0
chr6	115592270	115593612	-	3	82,60,54,	0,1142,1288,	circRNA	Sel1l	NM_177933	13,14,15	chr6:115591660-115592270|115593612-115597429	1	141	1	426	0.013986013986013986	0.004672897196261682	0.009313116789752305	0.2620875540108325	1.0
chr9	92360875	92405119	-	6	96,84,137,106,803,147,	0,939,6061,11917,19334,44097,	circRNA	Trip12	NM_001031659	36,37,38,39,40,41	chr9:92354195-92360875|92405119-92435263	2	115	2	259	0.03361344537815126	0.015209125475285171	0.01840431990286609	0.26225514031658387	1.0
chr6	88637206	88917069	-	7	294,330,270,133,197,175,140,	0,26114,80213,111440,120515,197456,279723,	circRNA	Mdga2	NM_199269	9,10,11,12,13,14,15	chr6:88556681-88637206|88917069-89291775	1	13	4	16	0.13333333333333333	0.3333333333333333	-0.19999999999999998	0.26253438098040166	1.0
chr2	127654301	127665006	+	6	152,107,134,197,99,138,	0,667,2266,4110,8602,10567,	circRNA	Hspa4l	NM_001106428	10,11,12,13,14,15	chr2:127653767-127654301|127665006-127667545	1	224	1	673	0.008849557522123894	0.002962962962962963	0.005886594559160931	0.26289116290791076	1.0
chr7	130113211	130114242	-	4	115,48,30,112,	0,468,776,919,	circRNA	Mapk12	NM_021746	6,7,8,9	chr7:130112134-130113211|130114242-130116532	5	13	9	11	0.43478260869565216	0.6206896551724138	-0.18590704647676165	0.26348897099002727	1.0
chr2	219382722	219439030	-	5	63,67,80,93,76,	0,2676,19602,44553,56232,	circRNA	Cdc14a	NM_001134856	10,11,12,13,14	chr2:219366496-219382722|219439030-219456822	4	69	3	102	0.1038961038961039	0.05555555555555555	0.04834054834054835	0.26465222994449433	1.0
chr1	206986320	207011117	+	9	73,80,126,125,99,73,104,184,98,	0,3511,7649,11482,12855,13830,19009,19734,24699,	circRNA	Dock1	NM_001143858	11,12,13,14,15,16,17,18,19	chr1:206978733-206986320|207011117-207015975	1	15	1	48	0.11764705882352941	0.04	0.0776470588235294	0.26482099989562874	1.0
chr9	94948510	94969041	+	5	73,138,78,24,56,	0,10896,13300,15892,20475,	circRNA	Sag	NM_013023	10,11,12,13,14	chr9:94944717-94948510|94969041-94971343	3	3505	6	12061	0.001708914839077186	0.0009939534498467654	0.0007149613892304205	0.265106074896487	1.0
chr14	59484706	59498148	-	10	113,39,73,111,47,64,75,76,46,73,	0,1503,2399,4484,4756,6069,7457,9830,12333,13369,	circRNA	Tbc1d19	NM_001106008	11,12,13,14,15,16,17,18,19,20	chr14:59476804-59484706|59498148-59516684	1	9	1	30	0.18181818181818182	0.0625	0.11931818181818182	0.26651000729276575	1.0
chr17	5546406	5591590	+	13	209,178,98,117,692,84,87,149,88,145,154,181,130,	0,1615,9084,13250,17112,23340,24652,24820,36449,41419,43059,44106,45054,	circRNA	Agtpbp1	NM_001106100	11,12,13,14,15,16,17,18,19,20,21,22,23	chr17:5543087-5546406|5591590-5598251	2	136	7	968	0.02857142857142857	0.014256619144602852	0.014314809426825718	0.2666161476877406	1.0
chr10	96672235	96894082	+	19	114,191,173,91,78,48,78,87,100,119,144,155,130,93,60,80,136,108,183,	0,3451,7135,48450,50178,87309,87609,107260,118601,120795,122401,139224,139643,140406,142064,148824,181869,199373,221664,	circRNA	Cep112	NM_001105849	2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	chr10:96663900-96672235|96894082-96943094	4	2	18	3	0.8	0.9230769230769231	-0.12307692307692308	0.2667267647114306	1.0
chr16	71103626	71106610	+	4	123,96,84,156,	0,1031,2642,2828,	circRNA	Ddhd2	NM_001318416	10,11,12,13	chr16:71101903-71103626|71106610-71107250	3	32	1	32	0.15789473684210525	0.058823529411764705	0.09907120743034055	0.2669211294322156	1.0
chr16	71103626	71104753	+	2	123,96,	0,1031,	circRNA	Ddhd2	NM_001318416	10,11	chr16:71101903-71103626|71104753-71106268	1	32	3	32	0.058823529411764705	0.15789473684210525	-0.09907120743034055	0.26692112943221963	1.0
chr11	43065180	43080014	-	5	153,141,83,224,68,	0,6576,7731,11046,14766,	circRNA	Gabrr3	NM_138897	3,4,5,6,7	chr11:43056648-43065180|43080014-43088196	4	6	2	8	0.5714285714285714	0.3333333333333333	0.23809523809523808	0.2670615156817863	1.0
chr6	122859567	122870610	-	6	138,202,136,186,69,99,	0,2324,3796,5486,9790,10944,	circRNA	Eml5	NM_001003402	36,37,38,39,40,41	chr6:122855821-122859567|122870610-122878184	4	155	3	234	0.049079754601226995	0.025	0.024079754601226994	0.26761592649492044	1.0
chr18	36538199	36553282	-	12	111,141,141,91,184,64,58,213,139,83,66,86,	0,567,1590,3031,6276,10765,12268,13088,13696,14684,14846,14997,	circRNA	Lars	NM_001009637	6,7,8,9,10,11,12,13,14,15,16,17	chr18:36536283-36538199|36553282-36556883	1	59	1	177	0.03278688524590164	0.0111731843575419	0.02161370088835974	0.2679156138912953	1.0
chr1	143107054	143109260	+	2	57,191,	0,2015,	circRNA	Pde8a	NM_198767	2,3	chr1:143036447-143107054|143109260-143117500	1	3	5	3	0.4	0.7692307692307693	-0.36923076923076925	0.26820728291316637	1.0
chr4	54869171	55011408	-	4	201,138,155,136,	0,140069,141132,142101,	circRNA	Grm8	NM_022202	5,6,7,8	chr4:54643889-54869171|55011408-55229364	1	15	4	18	0.11764705882352941	0.3076923076923077	-0.1900452488687783	0.2686211858078033	1.0
chr6	2956090	2961394	-	4	179,839,186,159,	0,2277,3378,5145,	circRNA	Dhx57	NM_001191907	19,20,21,22	chr6:2953554-2956090|None	3	44	1	48	0.12	0.04	0.07999999999999999	0.26866020752215153	1.0
chr14	33075895	33084579	-	8	114,108,90,251,95,97,169,199,	0,1559,1871,2041,3909,4905,7784,8485,	circRNA	Polr2b	NM_001106002	4,5,6,7,8,9,10,11	chr14:33075348-33075895|33084579-33085585	1	66	1	197	0.029411764705882353	0.010050251256281407	0.019361513449600944	0.268881712443052	1.0
chr3	150348097	150382703	+	4	83,265,73,167,	0,30189,32286,34439,	circRNA	Raly	NM_001011958	2,3,4,5	chr3:150323291-150348097|150382703-150384227	8	1	21	11	0.9411764705882353	0.7924528301886793	0.148723640399556	0.269207610363067	1.0
chr8	6152356	6172782	-	3	182,114,116,	0,9270,20310,	circRNA	Yap1	NM_001034002	6,7,8	chr8:6150181-6152356|6172782-6200795	1	5	1	18	0.2857142857142857	0.1	0.1857142857142857	0.269230769230769	1.0
chr15	37820441	37825213	-	2	83,163,	0,4609,	circRNA	Eef1akmt1	NM_001134990	3,4	chr15:37814327-37820441|37825213-37826044	1	3	2	20	0.4	0.16666666666666666	0.23333333333333336	0.2692602416740378	1.0
